"Bài giảng","Text đáp án","Lựa chọn A","Lựa chọn B","Lựa chọn C","Lựa chọn D","Đáp án đúng","Điểm"
"Lec4 - Data Input & Storage","Module chuẩn (built-in) nào của Python dùng để làm việc với cơ sở dữ liệu SQLite?","`sqlite3`","`mysql`","`sqlalchemy`","`psycopg2`","A","1"
"Lec4 - Data Input & Storage","Hàm Pandas nào dùng để đọc dữ liệu từ một câu lệnh SQL?","`pd.query_sql`","`pd.from_sql`","`pd.sql_read`","`pd.read_sql`","D","1"
"Lec4 - Data Input & Storage","Bạn muốn ghi DataFrame `df` vào một bảng tên `customers` trong cơ sở dữ liệu thông qua connection `conn`. Code nào phù hợp nhất?","`df.write_sql('customers', conn)`","`pd.save_sql(df, conn, 'customers')`","`df.to_sql('customers', conn, index=False)`","`conn.write(df, 'customers')`","C","1"
"Lec4 - Data Input & Storage","Đoạn code dưới đây có hoạt động được không (giả sử URL hợp lệ)? Code: `df = pd.read_csv(""https://example.com/data.csv"")`","Không — `pd.read_csv` chỉ đọc được file trên ổ đĩa","Có — `pd.read_csv` chấp nhận trực tiếp URL HTTP/HTTPS","Không — phải dùng `pd.read_html` cho URL","Không — phải tải file về trước rồi mới đọc","B","1"
"Lec5 - Data Cleaning & Preparation","Hàm nào trong Pandas dùng để phát hiện giá trị thiếu (NaN) trong DataFrame?","`isna()`","`dropna()`","`fillna()`","`replace()`","A","1"
"Lec5 - Data Cleaning & Preparation","Hàm nào dùng để loại bỏ các hàng có giá trị NaN?","`fillna()`","`dropna()`","`isna()`","`remove_na()`","B","1"
"Lec5 - Data Cleaning & Preparation","Hàm nào dùng để thay thế (điền) giá trị thiếu trong Pandas?","`dropna()`","`isna()`","`fillna()`","`notna()`","C","1"
"Lec5 - Data Cleaning & Preparation","Tham số `fillna(method='ffill')` có ý nghĩa gì?","Backward fill — điền bằng giá trị liền sau","Điền bằng giá trị trung bình","Điền bằng số 0","Forward fill — điền bằng giá trị liền trước","D","1"
"Lec5 - Data Cleaning & Preparation","Bạn muốn đếm số lượng NaN trong mỗi cột của `df`. Code nào phù hợp nhất?","`df.isna().sum()`","`df.count_na()`","`df.missing()`","`df.na()`","A","1"
"Lec5 - Data Cleaning & Preparation","Kết quả của đoạn code sau là gì? Code: `df = pd.DataFrame({'A': [1, None, 3], 'B': [None, 5, 6]}) ; print(len(df.dropna()))`","0","1","2","3","B","1"
"Lec5 - Data Cleaning & Preparation","Hàm nào dùng để phát hiện hàng trùng lặp trong DataFrame?","`unique()`","`nunique()`","`duplicated()`","`is_duplicate()`","C","1"
"Lec5 - Data Cleaning & Preparation","Bạn muốn xóa các hàng trùng lặp hoàn toàn trong `df`. Code nào phù hợp nhất?","`df.unique()`","`df.deduplicate()`","`df.remove_duplicates()`","`df.drop_duplicates()`","D","1"
"Lec5 - Data Cleaning & Preparation","MinMaxScaler chuẩn hóa dữ liệu về khoảng nào?","`[0, 1]`","`[-1, 1]`","`(0, 1)`","`(-∞, ∞)`","A","1"
"Lec5 - Data Cleaning & Preparation","StandardScaler chuẩn hóa dữ liệu về `mean = 0` và `std` bằng bao nhiêu?","0","1","0.5","2","B","1"
"Lec5 - Data Cleaning & Preparation","Bạn muốn chuẩn hóa cột `'A'` về khoảng `[0, 1]`. Code nào phù hợp nhất?","`df['A'].normalize()`","`pd.normalize(df['A'])`","`from sklearn.preprocessing import MinMaxScaler; MinMaxScaler().fit_transform(df[['A']])`","`df['A'].min_max()`","C","1"
"Lec5 - Data Cleaning & Preparation","Kết quả của đoạn code sau là gì? Code: `s = pd.Series(['hello', 'world']) ; print(s.str.upper().tolist())`","`['Hello', 'World']`","`['hello', 'world']`","Lỗi","`['HELLO', 'WORLD']`","D","1"
"Lec5 - Data Cleaning & Preparation","Hàm Pandas nào dùng để kiểm tra một chuỗi có chứa ký tự / từ khóa nhất định?","`str.contains()`","`str.find_all()`","`str.match_word()`","`str.has()`","A","1"
"Lec5 - Data Cleaning & Preparation","`LabelEncoder` (trong `sklearn`) thường được dùng để làm gì?","Chuẩn hóa dữ liệu số về khoảng `[0, 1]`","Mã hóa biến phân loại thành số nguyên (0, 1, 2, ...)","Xử lý dữ liệu thiếu","Tách chuỗi ký tự","B","1"
"Lec5 - Data Cleaning & Preparation","Một biến phân loại có 4 giá trị duy nhất. `pd.get_dummies()` (One-Hot Encoding) sẽ tạo ra bao nhiêu cột mới?","1","2","4","3","C","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Bạn muốn tạo MultiIndex (chỉ số phân cấp) trên DataFrame `df` từ hai cột `'Store'` và `'Dept'`. Code nào phù hợp nhất?","`df.set_index(['Store', 'Dept'])`","`df.multi_index('Store', 'Dept')`","`df.index = ['Store', 'Dept']`","`pd.MultiIndex(df, ['Store', 'Dept'])`","A","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Hàm Pandas nào được dùng để gộp (merge) hai DataFrame theo một cột chung?","`pd.union`","`pd.merge`","`pd.combine`","`pd.add`","B","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Bạn muốn merge `df1` và `df2` theo cột `'id'` và giữ lại tất cả các hàng của `df1` (kể cả khi không khớp). Code nào phù hợp nhất?","`pd.merge(df1, df2, on='id', how='right')`","`pd.merge(df1, df2, on='id', how='inner')`","`pd.merge(df1, df2, on='id', how='left')`","`pd.merge(df1, df2, on='id', how='outer')`","C","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Mặc định, `pd.merge(df1, df2, on='id')` thực hiện kiểu join nào?","`left`","`right`","`outer`","`inner`","D","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Bạn muốn nối hai DataFrame theo chiều dọc (xếp `df2` xuống dưới `df1`). Code nào phù hợp nhất?","`pd.concat([df1, df2], axis=0)`","`pd.concat([df1, df2], axis=1)`","`pd.merge(df1, df2)`","`df1.add(df2)`","A","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Bạn muốn nối hai DataFrame theo chiều ngang (ghép cột của `df2` vào bên phải `df1`). Code nào phù hợp nhất?","`pd.concat([df1, df2], axis=0)`","`pd.concat([df1, df2], axis=1)`","`df1.append(df2)`","`pd.merge(df1, df2)`","B","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Hàm nào dùng để unpivot một DataFrame từ dạng wide sang dạng long (sinh ra một cột `variable` chứa tên cột cũ và một cột `value` chứa giá trị)?","`df.pivot()`","`df.to_long()`","`df.melt()`","`df.transpose()`","C","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Hàm `pivot_table` thường được dùng để làm gì?","Đọc file Excel","Vẽ biểu đồ tương tác","Sắp xếp dữ liệu theo cột","Tạo bảng tổng hợp (aggregation) theo nhiều chiều, ví dụ trung bình doanh thu theo Store × Dept","D","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Bạn muốn sắp xếp `df` theo cột `'Sales'` giảm dần. Code nào phù hợp nhất?","`df.sort_values('Sales', ascending=False)`","`df.sort('Sales', desc=True)`","`df.order_by('Sales')`","`df.sort_index('Sales')`","A","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Bạn muốn sắp xếp DataFrame theo index. Code nào phù hợp nhất?","`df.sort_by_index()`","`df.sort_index()`","`df.reindex_sort()`","`df.order_index()`","B","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Bạn muốn nhóm theo cột `'category'` và tính tổng của cột `'value'`. Code nào phù hợp nhất?","`df.group('category').sum()`","`df.aggregate('category', 'sum')`","`df.groupby('category')['value'].sum()`","`pd.groupby_sum(df, 'category', 'value')`","C","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Sau khi `groupby`, bạn có thể tính nhiều thống kê cùng lúc bằng hàm nào?","`multi()`","`summary()`","`stats()`","`agg()`","D","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Bạn muốn áp dụng một hàm lên từng hàng của DataFrame `df`. Code nào phù hợp nhất?","`df.apply(func, axis=1)`","`df.apply(func, axis=0)`","`df.map(func)`","`df.foreach(func)`","A","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Kết quả của đoạn code sau là gì? Code: `s = pd.Series(['a', 'b', 'a', 'c']) ; print(s.map({'a': 1, 'b': 2, 'c': 3}).tolist())`","`['a', 'b', 'a', 'c']`","`[1, 2, 1, 3]`","`[1, 2, 3]`","Lỗi","B","1"
"Lec6 - Data Wrangling (Sort/Merge/Reshape)","Cặp hàm `stack()` và `unstack()` trong Pandas dùng để làm gì?","Sắp xếp lại các giá trị theo thứ tự tăng dần","Lưu/đọc DataFrame ra file","Chuyển đổi giữa wide ↔ long bằng cách di chuyển level từ cột sang index và ngược lại","Vẽ biểu đồ chồng (stacked chart)","C","1"
"Lec7 - Data Visualization","Cú pháp chuẩn để import thư viện `matplotlib.pyplot` là gì?","`import matplotlib.pyplot as plt`","`import matplotlib`","`import pyplot as plt`","`from matplotlib import *`","A","1"
"Lec7 - Data Visualization","Cú pháp chuẩn để import thư viện `seaborn` là gì?","`import seaborn as sb`","`import seaborn as sns`","`from seaborn import *`","`import sns`","B","1"
"Lec7 - Data Visualization","Bạn muốn vẽ biểu đồ đường (line plot) từ hai mảng `x` và `y`. Code nào phù hợp nhất?","`plt.line(x, y)`","`plt.draw_line(x, y)`","`plt.plot(x, y)`","`plt.lineplot(x, y)`","C","1"
"Lec7 - Data Visualization","Bạn muốn vẽ biểu đồ cột (bar chart). Code nào phù hợp nhất?","`plt.column(x, y)`","`plt.histogram(x, y)`","`plt.draw_bar(x, y)`","`plt.bar(x, y)`","D","1"
"Lec7 - Data Visualization","Bạn muốn vẽ histogram (biểu đồ tần suất) cho mảng `data`. Code nào phù hợp nhất?","`plt.hist(data)`","`plt.histogram(data)`","`plt.bar(data)`","`plt.distribution(data)`","A","1"
"Lec7 - Data Visualization","Bạn muốn vẽ biểu đồ phân tán (scatter plot) giữa hai biến `x` và `y`. Code nào phù hợp nhất?","`plt.dot(x, y)`","`plt.scatter(x, y)`","`plt.points(x, y)`","`plt.plot_scatter(x, y)`","B","1"
"Lec7 - Data Visualization","Bạn muốn đặt tiêu đề cho biểu đồ là `""Doanh thu theo tháng""`. Code nào phù hợp nhất?","`plt.set_title(""Doanh thu theo tháng"")`","`plt.label(""Doanh thu theo tháng"")`","`plt.title(""Doanh thu theo tháng"")`","`plt.name(""Doanh thu theo tháng"")`","C","1"
"Lec7 - Data Visualization","Bạn muốn đặt nhãn trục x là `""Tháng""`. Code nào phù hợp nhất?","`plt.label_x(""Tháng"")`","`plt.x(""Tháng"")`","`plt.axis_x(""Tháng"")`","`plt.xlabel(""Tháng"")`","D","1"
"Lec7 - Data Visualization","Bạn muốn hiển thị chú thích (legend) trên biểu đồ matplotlib. Code nào phù hợp nhất?","`plt.legend()`","`plt.show_legend()`","`plt.note()`","`plt.caption()`","A","1"
"Lec7 - Data Visualization","Bạn muốn lưu biểu đồ hiện tại ra file `chart.png`. Code nào phù hợp nhất?","`plt.save(""chart.png"")`","`plt.savefig(""chart.png"")`","`plt.export(""chart.png"")`","`plt.write_png(""chart.png"")`","B","1"
"Lec7 - Data Visualization","Bạn muốn tạo lưới subplot gồm 2 hàng × 2 cột. Code nào phù hợp nhất?","`plt.subplot_grid(2, 2)`","`plt.figure(2, 2)`","`fig, axes = plt.subplots(2, 2)`","`plt.create_axes(2, 2)`","C","1"
"Lec7 - Data Visualization","Sau khi đã chuẩn bị biểu đồ trong matplotlib, lệnh nào dùng để hiển thị nó (đặc biệt khi chạy script `.py`)?","`plt.display()`","`plt.render()`","`plt.print()`","`plt.show()`","D","1"
"Lec7 - Data Visualization","Bạn có DataFrame `df` với cột `'A'`. Cách nhanh nhất để vẽ histogram cho cột `'A'` bằng pandas là gì?","`df['A'].hist()`","`df.histogram('A')`","`pd.hist(df['A'])`","`df.bar('A')`","A","1"
"Lec7 - Data Visualization","Bạn muốn dùng seaborn để vẽ biểu đồ phân tán có thêm đường hồi quy giữa `x` và `y` từ DataFrame `df`. Code nào phù hợp nhất?","`sns.scatter(x, y)`","`sns.regplot(x='x', y='y', data=df)`","`sns.linear_plot(df, 'x', 'y')`","`plt.regplot(df['x'], df['y'])`","B","1"
"Lec7 - Data Visualization","Bạn muốn dùng seaborn để vẽ boxplot so sánh phân phối `'value'` theo từng nhóm trong cột `'category'`. Code nào phù hợp nhất?","`sns.box(df, 'category', 'value')`","`plt.box(df['category'], df['value'])`","`sns.boxplot(x='category', y='value', data=df)`","`df.boxplot('value', 'category')`","C","1"
"Lec8 - Supervised Machine Learning","Học có giám sát (Supervised Learning) là gì?","Học từ dữ liệu không có nhãn để khám phá cấu trúc tiềm ẩn","Học bằng cách tương tác với môi trường để tối ưu phần thưởng","Học từ dữ liệu có nhãn (kèm câu trả lời đúng) để dự đoán cho dữ liệu mới","Lập trình các quy tắc `if-else` cứng nhắc cho từng trường hợp","C","1"
"Lec8 - Supervised Machine Learning","Một công ty muốn dự đoán giá nhà (đơn vị: triệu đồng/m²). Đây là bài toán thuộc loại nào?","Hồi quy (Regression) — vì đầu ra là một con số liên tục","Phân loại (Classification) — vì đầu ra là một nhãn rời rạc","Phân cụm (Clustering) — vì không có nhãn","Học tăng cường (Reinforcement Learning) — vì có phần thưởng","A","1"
"Lec8 - Supervised Machine Learning","Overfitting (quá khớp) trong Học máy là hiện tượng gì?","Mô hình quá đơn giản, không nắm được pattern trong dữ liệu","Mô hình chạy quá chậm trên tập huấn luyện","Mô hình không có tham số","Mô hình học quá kỹ (kể cả nhiễu) trên tập huấn luyện → hoạt động kém trên dữ liệu mới","D","1"
"Lec8 - Supervised Machine Learning","Mô hình Random Forest (Rừng ngẫu nhiên) hoạt động dựa trên ý tưởng nào?","Là một cây quyết định duy nhất với độ sâu rất lớn","Kết hợp nhiều cây quyết định được huấn luyện độc lập, rồi lấy trung bình (hồi quy) hoặc đa số phiếu (phân loại)","Là mô hình hồi quy tuyến tính nâng cao","Là mạng nơ-ron sâu có nhiều tầng ẩn","B","1"
"Lec8 - Supervised Machine Learning","Trong bài toán phân loại, Accuracy (độ chính xác) được hiểu là gì?","Tỷ lệ False Positive trên tổng số dự đoán","Tỷ lệ dự đoán đúng trên tổng số mẫu","Sai số trung bình giữa giá trị dự đoán và giá trị thực tế","Diện tích dưới đường ROC","B","1"
